Case,Restaurant,Price,Food,Decor,Service,East,latitude,longitude
1,daniella ristorante,43,22,18,20,0,40.7468312,-73.9967577
2,tello's ristorante,32,20,19,19,0,40.7434213,-73.9995369
3,biricchino,34,21,13,18,0,40.7488643,-73.9955188
4,bottino,41,20,20,17,0,40.7484846,-74.0033127
5,da umberto,54,24,19,21,0,40.7395815,-73.9959104
6,le madri,52,22,22,21,0,40.7406934,-73.9975525
7,le zie,34,22,16,21,0,40.7425173,-73.9970315
8,pasticcio,34,20,18,21,1,40.7435574,-73.9794886
9,belluno,39,22,19,22,1,40.7574742,-73.9866043
10,cinque terre,44,21,17,19,1,40.7500345,-73.9809527
11,fino,45,19,17,20,1,40.7053293,-74.0083623
12,marchi's,47,21,19,21,1,40.743159,-73.977576
13,nicola paone,52,21,19,20,1,40.7456294,-73.9775121
14,notaro,35,19,17,19,1,40.7452948,-73.9757772
15,rossini's,47,20,18,21,1,40.7492299,-73.9789166
16,trattoria alba,37,21,19,21,1,40.7452581,-73.9765117
17,villa berulia,45,22,18,23,1,40.7469315,-73.9805395
18,il postino,57,24,21,22,1,40.7537641,-73.9674672
19,luna blu,38,19,17,18,1,40.7877862,-73.971662
20,san giusto,51,22,20,22,1,40.7546684,-73.968976
21,grifone,54,23,20,23,1,40.7524063,-73.970995
22,nanni's,51,23,17,21,1,40.7535761,-73.9736762
23,osteria laguna,38,20,18,18,1,40.7506553,-73.9735662
24,bellini,49,22,21,21,1,40.784664,-73.973303
25,cellini,45,22,20,22,1,40.7601524,-73.9726722
26,anche vivolo,37,19,17,19,1,40.7603202,-73.9661198
27,bruno ristorante,50,22,19,22,1,40.7600574,-73.9655842
28,chianti,43,20,16,18,1,40.7286979,-73.9872499
29,da antonio ristorante,49,22,19,20,1,40.7593008,-73.9688772
30,harry cipriani,65,21,20,20,1,40.7643722,-73.9726444
31,la gioconda,34,20,16,18,1,40.7571212,-73.9683815
32,bice,51,21,20,18,1,40.7609322,-73.9745417
33,coco pazzo cafè,49,20,19,19,1,40.7259028,-74.0015739
34,degrezia,51,23,22,23,1,40.755495,-73.9694411
